ip,nb_connexions
192.168.0.194,185
192.168.0.96,185
192.168.0.99,172
192.168.0.37,178
192.168.0.19,177
192.168.0.201,175
192.168.0.209,187
192.168.0.107,160
192.168.0.92,166
192.168.0.212,191
192.168.0.77,170
192.168.0.108,167
192.168.0.149,162
192.168.0.22,152
192.168.0.157,164
192.168.0.58,161
192.168.0.219,166
192.168.0.220,154
192.168.0.53,175
192.168.0.64,181
192.168.0.144,189
192.168.0.112,150
192.168.0.51,142
192.168.0.67,180
192.168.0.105,153
192.168.0.199,180
192.168.0.226,197
192.168.0.249,187
192.168.0.152,165
192.168.0.90,194
192.168.0.40,156
192.168.0.240,158
192.168.0.121,180
192.168.0.154,172
192.168.0.48,197
192.168.0.12,177
192.168.0.218,175
192.168.0.116,166
192.168.0.34,182
192.168.0.176,193
192.168.0.200,173
192.168.0.10,182
192.168.0.217,167
192.168.0.189,172
192.168.0.181,169
192.168.0.2,189
192.168.0.72,198
192.168.0.68,162
192.168.0.186,164
192.168.0.122,169
192.168.0.214,171
192.168.0.28,156
192.168.0.211,151
192.168.0.20,181
192.168.0.26,159
192.168.0.210,156
192.168.0.123,156
192.168.0.44,168
192.168.0.233,179
192.168.0.238,166
192.168.0.71,165
192.168.0.39,151
192.168.0.198,179
192.168.0.94,178
192.168.0.69,166
192.168.0.234,162
192.168.0.169,176
192.168.0.35,194
192.168.0.80,192
192.168.0.109,192
192.168.0.235,155
192.168.0.62,193
192.168.0.138,162
192.168.0.164,157
192.168.0.81,170
192.168.0.91,179
192.168.0.45,198
192.168.0.161,154
192.168.0.100,167
192.168.0.236,181
192.168.0.9,163
192.168.0.230,158
192.168.0.223,145
192.168.0.255,160
192.168.0.79,172
192.168.0.179,171
192.168.0.191,180
192.168.0.150,180
192.168.0.192,166
192.168.0.70,171
192.168.0.247,173
192.168.0.65,177
192.168.0.139,148
192.168.0.193,181
192.168.0.6,165
192.168.0.47,166
192.168.0.86,189
192.168.0.140,197
192.168.0.246,187
192.168.0.27,157
192.168.0.38,169
192.168.0.41,178
192.168.0.231,171
192.168.0.135,161
192.168.0.101,169
192.168.0.52,177
192.168.0.155,170
192.168.0.74,161
192.168.0.170,170
192.168.0.13,189
192.168.0.50,172
192.168.0.142,194
192.168.0.119,179
192.168.0.89,186
192.168.0.159,174
192.168.0.126,174
192.168.0.204,192
192.168.0.222,195
192.168.0.85,196
192.168.0.174,153
192.168.0.254,167
192.168.0.130,174
192.168.0.132,192
192.168.0.160,167
192.168.0.57,186
192.168.0.43,176
192.168.0.131,179
192.168.0.203,175
192.168.0.102,148
192.168.0.129,177
192.168.0.182,167
192.168.0.227,182
192.168.0.76,178
192.168.0.95,181
192.168.0.136,190
192.168.0.156,184
192.168.0.187,160
192.168.0.248,186
192.168.0.183,175
192.168.0.106,153
192.168.0.104,178
192.168.0.18,181
192.168.0.237,166
192.168.0.118,180
192.168.0.184,163
192.168.0.162,193
192.168.0.8,158
192.168.0.114,174
192.168.0.165,162
192.168.0.232,185
192.168.0.125,154
192.168.0.196,162
192.168.0.63,176
192.168.0.207,164
192.168.0.1,189
192.168.0.190,184
192.168.0.103,170
192.168.0.173,163
192.168.0.124,155
192.168.0.228,173
192.168.0.25,168
192.168.0.245,177
192.168.0.110,197
192.168.0.146,164
192.168.0.120,199
192.168.0.3,156
192.168.0.148,175
192.168.0.243,149
192.168.0.59,181
192.168.0.115,179
192.168.0.15,172
192.168.0.127,182
192.168.0.205,165
192.168.0.82,163
192.168.0.42,186
192.168.0.151,183
192.168.0.14,158
192.168.0.24,194
192.168.0.84,175
192.168.0.56,162
192.168.0.117,157
192.168.0.93,171
192.168.0.88,183
192.168.0.5,152
192.168.0.36,174
192.168.0.46,163
192.168.0.30,168
192.168.0.185,164
192.168.0.251,158
192.168.0.31,181
192.168.0.166,168
192.168.0.167,189
192.168.0.241,171
192.168.0.73,162
192.168.0.216,154
192.168.0.49,174
192.168.0.206,186
192.168.0.250,148
192.168.0.60,177
192.168.0.133,168
192.168.0.244,183
192.168.0.229,169
192.168.0.54,176
192.168.0.153,169
192.168.0.147,173
192.168.0.253,158
192.168.0.163,153
192.168.0.87,189
192.168.0.134,163
192.168.0.78,172
192.168.0.128,178
192.168.0.213,161
192.168.0.55,174
192.168.0.175,158
192.168.0.4,174
192.168.0.98,167
192.168.0.23,186
192.168.0.29,182
192.168.0.215,174
192.168.0.32,150
192.168.0.61,172
192.168.0.202,157
192.168.0.7,182
192.168.0.224,184
192.168.0.197,172
192.168.0.143,170
192.168.0.195,175
192.168.0.208,171
192.168.0.141,173
192.168.0.137,140
192.168.0.66,151
192.168.0.180,160
192.168.0.111,155
192.168.0.11,168
192.168.0.239,151
192.168.0.158,138
192.168.0.75,169
192.168.0.177,160
192.168.0.21,181
192.168.0.97,160
192.168.0.178,184
192.168.0.168,164
192.168.0.188,171
192.168.0.83,152
192.168.0.113,167
192.168.0.16,158
192.168.0.242,176
192.168.0.17,175
192.168.0.252,161
192.168.0.225,191
192.168.0.172,167
192.168.0.171,180
192.168.0.145,166
192.168.0.221,173
192.168.0.33,175
